Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Brain_Amygdala	6995	31	0.651680037762636	1	ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000166147:ENSG00000166949:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000136378:ENSG00000051108:ENSG00000159579:ENSG00000130164:ENSG00000064601:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6003	25	0.76947149890271	1	ENSG00000143028:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000041357:ENSG00000051108:ENSG00000159579:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Caudate_basal_ganglia	6174	26	0.752513574881168	1	ENSG00000143028:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000041357:ENSG00000159579:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Cerebellar_Hemisphere	2381	9	0.785737554185156	1	ENSG00000134243:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000166949:ENSG00000130164
DEG.down	Brain_Cerebellum	2483	13	0.356366798461152	1	ENSG00000134243:ENSG00000143028:ENSG00000160712:ENSG00000146477:ENSG00000112530:ENSG00000099810:ENSG00000147883:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000166949:ENSG00000136378:ENSG00000130164
DEG.down	Brain_Cortex	4957	21	0.715257764787353	1	ENSG00000143028:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000041357:ENSG00000159579:ENSG00000130164:ENSG00000100982
DEG.down	Brain_Frontal_Cortex_BA9	4429	19	0.6826240923299	1	ENSG00000143028:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Hippocampus	6806	29	0.742046635658959	1	ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000166147:ENSG00000166949:ENSG00000103591:ENSG00000136381:ENSG00000041357:ENSG00000136378:ENSG00000051108:ENSG00000159579:ENSG00000130164:ENSG00000064601:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Hypothalamus	5303	26	0.394776790316175	1	ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000122641:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000134917:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000041357:ENSG00000136378:ENSG00000159579:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Nucleus_accumbens_basal_ganglia	5801	26	0.611049370722835	1	ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000041357:ENSG00000051108:ENSG00000159579:ENSG00000130164:ENSG00000100982:ENSG00000198026
